prog	rankval	mt	iu	okp	auc
511	JAFFA-Assembly	18	10	1	0	0.32
512	JAFFA-Assembly	18	10	1	1	0.31
513	JAFFA-Direct	17	3	0	0	0.09
514	JAFFA-Direct	15	3	0	1	0.1
515	JAFFA-Direct	15	3	1	0	0.1
516	JAFFA-Direct	15	3	1	1	0.1
517	JAFFA-Direct	14	4	0	0	0.2
518	JAFFA-Direct	13	4	0	1	0.2
519	JAFFA-Direct	15	4	1	0	0.21
520	JAFFA-Direct	15	4	1	1	0.21
521	JAFFA-Direct	14	5	0	0	0.24
522	JAFFA-Direct	14	5	0	1	0.24
523	JAFFA-Direct	16	5	1	0	0.26
524	JAFFA-Direct	17	5	1	1	0.25
525	JAFFA-Direct	14	6	0	0	0.26
526	JAFFA-Direct	14	6	0	1	0.26
527	JAFFA-Direct	17	6	1	0	0.28
528	JAFFA-Direct	17	6	1	1	0.28
529	JAFFA-Direct	14	7	0	0	0.28
530	JAFFA-Direct	14	7	0	1	0.29
531	JAFFA-Direct	17	7	1	0	0.31
532	JAFFA-Direct	17	7	1	1	0.31
533	JAFFA-Direct	14	8	0	0	0.3
534	JAFFA-Direct	14	8	0	1	0.3
535	JAFFA-Direct	17	8	1	0	0.32
536	JAFFA-Direct	17	8	1	1	0.32
537	JAFFA-Direct	14	9	0	0	0.3
538	JAFFA-Direct	15	9	0	1	0.3
539	JAFFA-Direct	17	9	1	0	0.33
540	JAFFA-Direct	17	9	1	1	0.33
541	JAFFA-Direct	14	10	0	0	0.3
542	JAFFA-Direct	15	10	0	1	0.3
543	JAFFA-Direct	17	10	1	0	0.34
544	JAFFA-Direct	17	10	1	1	0.34
545	PRADA	18	3	0	0	0.09
546	PRADA	17	3	0	1	0.09
547	PRADA	16	3	1	0	0.1
548	PRADA	16	3	1	1	0.1
549	PRADA	17	4	0	0	0.17
550	PRADA	16	4	0	1	0.17
551	PRADA	17	4	1	0	0.2
552	PRADA	16	4	1	1	0.2
553	PRADA	17	5	0	0	0.2
554	PRADA	16	5	0	1	0.2
555	PRADA	17	5	1	0	0.26
556	PRADA	16	5	1	1	0.26
557	PRADA	15	6	0	0	0.25
558	PRADA	15	6	0	1	0.25
559	PRADA	16	6	1	0	0.31
560	PRADA	15	6	1	1	0.31
561	PRADA	15	7	0	0	0.28
562	PRADA	15	7	0	1	0.28
563	PRADA	14	7	1	0	0.36
564	PRADA	14	7	1	1	0.36
565	PRADA	13	8	0	0	0.32
566	PRADA	13	8	0	1	0.32
567	PRADA	14	8	1	0	0.4
568	PRADA	14	8	1	1	0.4
569	PRADA	13	9	0	0	0.34
570	PRADA	13	9	0	1	0.34
571	PRADA	14	9	1	0	0.43
572	PRADA	14	9	1	1	0.43
573	PRADA	12	10	0	0	0.38
574	PRADA	12	10	0	1	0.38
575	PRADA	13	10	1	0	0.48
576	PRADA	12	10	1	1	0.48
577	ChimeraScan	19	3	0	0	0.07
578	ChimeraScan	19	3	0	1	0.07
579	ChimeraScan	19	3	1	0	0.07
