sample	prog	time_h
G27233.A-498.1	PIZZLY	0.65
G27233.A-498.1	STAR_FUSION_v1.5_hg19_Apr042019	2.52
G27233.A-498.1	STARCHIP	0.76
G27233.A-498.1	STARSEQR	1.49
G27233.A-498.1	TRINITY_FUSION_C_hg19	39.19
G27233.A-498.1	TRINITY_FUSION_hg19_Apr092019	66.94
G27233.A-498.1	TRINITY_FUSION_D_hg19	34.01
G27233.A-498.1	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.03
G27259.AN3_CA.1	TOPHAT_FUSION	30.64
G27259.AN3_CA.1	SOAP_FUSE	23.50
G27259.AN3_CA.1	CHIMERASCAN	25.09
G27259.AN3_CA.1	PRADA	12.62
G27259.AN3_CA.1	DEFUSE	15.11
G27259.AN3_CA.1	ERICSCRIPT	7.89
G27259.AN3_CA.1	FUSION_CATCHER_V0994e	5.23
G27259.AN3_CA.1	MAPSPLICE	38.66
G27259.AN3_CA.1	FUSIONHUNTER	8.78
G27259.AN3_CA.1	NFUSE	7.35
G27259.AN3_CA.1	JAFFA_ASSEMBLY	32.33
G27259.AN3_CA.1	JAFFA_HYBRID	55.35
G27259.AN3_CA.1	JAFFA_DIRECT	29.64
G27259.AN3_CA.1	INFUSION_CF3	59.91
G27259.AN3_CA.1	CHIMPIPE	25.47
G27259.AN3_CA.1	ARRIBA	0.91
G27259.AN3_CA.1	PIZZLY	0.61
G27259.AN3_CA.1	STAR_FUSION_v1.5_hg19_Apr042019	2.62
G27259.AN3_CA.1	STARCHIP	0.78
G27259.AN3_CA.1	STARSEQR	1.91
G27259.AN3_CA.1	TRINITY_FUSION_C_hg19	48.16
G27259.AN3_CA.1	TRINITY_FUSION_hg19_Apr092019	94.74
G27259.AN3_CA.1	TRINITY_FUSION_D_hg19	41.98
G27259.AN3_CA.1	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.03
G27280.TC-71.1	TOPHAT_FUSION	30.11
G27280.TC-71.1	SOAP_FUSE	24.61
G27280.TC-71.1	CHIMERASCAN	24.36
G27280.TC-71.1	PRADA	12.64
G27280.TC-71.1	DEFUSE	18.96
G27280.TC-71.1	ERICSCRIPT	7.18
G27280.TC-71.1	FUSION_CATCHER_V0994e	5.15
G27280.TC-71.1	MAPSPLICE	27.67
G27280.TC-71.1	FUSIONHUNTER	9.09
G27280.TC-71.1	NFUSE	7.21
G27280.TC-71.1	JAFFA_ASSEMBLY	16.27
G27280.TC-71.1	JAFFA_HYBRID	84.83
G27280.TC-71.1	JAFFA_DIRECT	10.91
G27280.TC-71.1	INFUSION_CF3	52.72
G27280.TC-71.1	CHIMPIPE	28.51
G27280.TC-71.1	ARRIBA	0.93
G27280.TC-71.1	PIZZLY	0.85
G27280.TC-71.1	STAR_FUSION_v1.5_hg19_Apr042019	2.63
